date,pm25_forecast,steps_ahead_from_last_observed,last_observed_date,generated_at_local
2026-01-23,33.82761744381171,1,2026-01-22,2026-01-23T15:54:15.811629+07:00
2026-01-24,35.97266289785952,2,2026-01-22,2026-01-23T15:54:15.811641+07:00
